asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,d3718056d05fd3807a27765f2dfe75c6c73ccf67d05fa2ff89f2f8e003d411dc,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=1130; rawTagPayloadSha256=d3718056d05fd3807a27765f2dfe75c6c73ccf67d05fa2ff89f2f8e003d411dc; exactTagIdentitySha256=ec7a189c5fd5e52496d9e3f99e01afc7feff8f0c06d8a2eab7cd7e930a1056d0; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00013,2,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,f3fe7e4a64b410b92b4a4e47e6181515738d58ae7497418c946b45eccebfed02,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=26; rawTagPayloadSha256=f3fe7e4a64b410b92b4a4e47e6181515738d58ae7497418c946b45eccebfed02; exactTagIdentitySha256=99ab35d6ca501c6fc3f6752c6658a098cc18e2cda0d11147855788be03b29e92; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,5434275d75129d520fa0fabcd0c881e2b9c2980907c017b7c564f4ee8367775e,DefineFont2,,30,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=2154; rawTagPayloadSha256=5434275d75129d520fa0fabcd0c881e2b9c2980907c017b7c564f4ee8367775e; exactTagIdentitySha256=ab0e1bb4028a31eba67f0e3740b530db408f2d636b76632abfbaab839d3a2d26; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00015,4,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,80754cb9ba13f2d3c4e6d632208015f92970ffd12e35def374fbf0943306dfa9,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=33; rawTagPayloadSha256=80754cb9ba13f2d3c4e6d632208015f92970ffd12e35def374fbf0943306dfa9; exactTagIdentitySha256=465d740893257db2b73fdc5d122c1819c107f7177a6768eeb1de4c98b3e74a7b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,5,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,dbd93dc3fce873424426214dc8b6de71c47de002efad1c7ff9058023b24aebb5,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=30; rawTagPayloadSha256=dbd93dc3fce873424426214dc8b6de71c47de002efad1c7ff9058023b24aebb5; exactTagIdentitySha256=277e8bebf95383f1be3c7b702040e89d2b029e0d2cca0ce92bdee589c384e50a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,6,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,7b3ee043206442944fcfaed7a20f615a8ec0f1bc016ac9ac5d23fe47b4bdf112,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=29; rawTagPayloadSha256=7b3ee043206442944fcfaed7a20f615a8ec0f1bc016ac9ac5d23fe47b4bdf112; exactTagIdentitySha256=412a14ffad3d9e393585aabe2bbf7bcbc988fee382209d492246c7c7e689f329; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,7710af38877fb894a65baf02414948b6a4686d7002c2927baa371d9ed223ec6a,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=107; rawTagPayloadSha256=7710af38877fb894a65baf02414948b6a4686d7002c2927baa371d9ed223ec6a; exactTagIdentitySha256=e0eda9505ad498f9a0a3b85ceeff065b1cbd35a4f6c88d9c20009f870b7179a7; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,8,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,ef2cdbccca48d57c3e884e70afd27e3debfbc7de7ce50821162b026a65c5cc2c,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=29; rawTagPayloadSha256=ef2cdbccca48d57c3e884e70afd27e3debfbc7de7ce50821162b026a65c5cc2c; exactTagIdentitySha256=43e8dc7e00c51d1445d7d9a687c9f89469e1d7e25eedc715b1feefdf1178b4fa; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,9,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,310a1a9c6759e1e777460ec6a715d2165e64df389ed1b065d291cedb85c8fde9,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=31; rawTagPayloadSha256=310a1a9c6759e1e777460ec6a715d2165e64df389ed1b065d291cedb85c8fde9; exactTagIdentitySha256=26bcfc5a6ded18e528df6c7ed950411bd86132a455e7a57932e2aa952b80a9b5; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,10,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,9bd3309aa0a5f805b18b8b001456ab88349951dcb0835d87755fd2a05f80bbdd,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=31; rawTagPayloadSha256=9bd3309aa0a5f805b18b8b001456ab88349951dcb0835d87755fd2a05f80bbdd; exactTagIdentitySha256=f2c0d36d048c680da9cb6854f5c25a9868e9a173eea31d2731a3fc85c3eb9062; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00022,11,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,0f005c7488e90b45400fea87a83018783cce152b5b09f0ad175cc4bda0cfa59c,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=31; rawTagPayloadSha256=0f005c7488e90b45400fea87a83018783cce152b5b09f0ad175cc4bda0cfa59c; exactTagIdentitySha256=e98ecdb76f9d3e07e5549dc1254b5872c93f5a043aea7599241e1a144907a7b3; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00023,12,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,d11ef64bc7259948a388b75536dcf925d2bba4e974f4cc04865614a147173b93,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=31; rawTagPayloadSha256=d11ef64bc7259948a388b75536dcf925d2bba4e974f4cc04865614a147173b93; exactTagIdentitySha256=6a61e24dee672b3caa9d10f47d6b7b7bde9bfad61753daae4a692afbd1160c2b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00024,13,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,50f2bd5551253812b8554de49e21f5a80ccdf8e81cf6051ef2eb05c27c070241,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=24; payloadBytes=31; rawTagPayloadSha256=50f2bd5551253812b8554de49e21f5a80ccdf8e81cf6051ef2eb05c27c070241; exactTagIdentitySha256=254111b1e2b57695d1ea1548929408f870be50f2533a7239d1ee87e34b8fc237; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00025,14,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,275a736e00cf2767f6a4c8b3e8e8011c5447350e84f4b9c4534d08b475e9bc99,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=25; payloadBytes=31; rawTagPayloadSha256=275a736e00cf2767f6a4c8b3e8e8011c5447350e84f4b9c4534d08b475e9bc99; exactTagIdentitySha256=4d1890db7bbbfcb122d55fbf594497f5ba7e11c490653d5633788e50924289fd; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00026,15,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,56472aa3458ff5ec251f26e7d4f012ed6fe06bf4df0032595f658e2d8cf7f829,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=26; payloadBytes=31; rawTagPayloadSha256=56472aa3458ff5ec251f26e7d4f012ed6fe06bf4df0032595f658e2d8cf7f829; exactTagIdentitySha256=d0ef56c6ae8c450aec840626d7b22510e1ebcf71be62b05fb8629f5ddc0b0d50; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00027,16,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,1d7ce39d2148763e0fa8d684ce69ffb9bd5675dfcaae15ca9ea146c1c9b94429,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=27; payloadBytes=29; rawTagPayloadSha256=1d7ce39d2148763e0fa8d684ce69ffb9bd5675dfcaae15ca9ea146c1c9b94429; exactTagIdentitySha256=ed4171c81ca7316eb989572792e7b13af186b19f254c098d1c1fd3a46256e12b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00028,17,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,6a622cd316ef5c7fa879dc9205b0bb0e0394807fa6482aa2679d686fd72d2055,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=28; payloadBytes=29; rawTagPayloadSha256=6a622cd316ef5c7fa879dc9205b0bb0e0394807fa6482aa2679d686fd72d2055; exactTagIdentitySha256=62fc9fd9df693aab825ea9ce496ec88898c0245d61284648a5d970ceadacb077; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00029,18,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,e10f048a4b954c98c50a4821d397a27b69830838097f76ef7ad2fc1787539444,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=29; payloadBytes=29; rawTagPayloadSha256=e10f048a4b954c98c50a4821d397a27b69830838097f76ef7ad2fc1787539444; exactTagIdentitySha256=0ee831456d0bed38a8fc88f4c90dd98dbb36f762f807454f283e2571d8e0d9d3; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00030,19,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,e6a40bbbf786f21859f8991545a7e06136f6a05c3107a3e9031c4455fc47e8ea,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=30; payloadBytes=29; rawTagPayloadSha256=e6a40bbbf786f21859f8991545a7e06136f6a05c3107a3e9031c4455fc47e8ea; exactTagIdentitySha256=48a225e7667c7cade1c4c36dee1d68fc4121b3507499338d8c13c5b6e6d72ec1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00031,20,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,11ff2f41c162cef5ce948b5853498bdacab7d5f29b8f8e7ad71a68f59bb27672,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=31; payloadBytes=29; rawTagPayloadSha256=11ff2f41c162cef5ce948b5853498bdacab7d5f29b8f8e7ad71a68f59bb27672; exactTagIdentitySha256=3689b17df0f4326c96666e49cdea17faeda06efa314405a319aed46d875c1464; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00032,21,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,c987ab5488b71cab4d13039e5e501bf432024c872f31e4c5704c9d183359843d,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=32; payloadBytes=29; rawTagPayloadSha256=c987ab5488b71cab4d13039e5e501bf432024c872f31e4c5704c9d183359843d; exactTagIdentitySha256=d96c6f2224cc8ed32959de6a3191afd05a51aa1b72b040bc206efb183a59f6bc; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00033,22,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,7ed119a681e6f916942f362fa80ba366ffd839080e2fdf0a1c4141b0a6dd8aba,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=33; payloadBytes=29; rawTagPayloadSha256=7ed119a681e6f916942f362fa80ba366ffd839080e2fdf0a1c4141b0a6dd8aba; exactTagIdentitySha256=7a1bd44eddf1b835c3af3425a77aeabc9366e935db0878016ead28cfd9950fe4; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00034,23,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,cb05e5e1ddc616bdc6fbc5eec7d55b5800acf4bc1c844eca61878542c78dcea6,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=34; payloadBytes=29; rawTagPayloadSha256=cb05e5e1ddc616bdc6fbc5eec7d55b5800acf4bc1c844eca61878542c78dcea6; exactTagIdentitySha256=c4d8d7c82eb96d5a07e25b18ccbb8ccbce9995b1de1015ed5fe426336c7db196; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00035,24,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,2d7faf66d57228aa8f3347bed3a6270f5cb90a888c2da6a763de7e0009c2a5c2,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=35; payloadBytes=310; rawTagPayloadSha256=2d7faf66d57228aa8f3347bed3a6270f5cb90a888c2da6a763de7e0009c2a5c2; exactTagIdentitySha256=1c76a8feb0b298b707e6d7202b8392c14436152a60affcf0e57f4521ac568d97; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00036,25,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,5b5db334de0a2c8199ee9a8510c8492b1295043bac7bddc4cca2c2679ef0dd3d,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=36; payloadBytes=25; rawTagPayloadSha256=5b5db334de0a2c8199ee9a8510c8492b1295043bac7bddc4cca2c2679ef0dd3d; exactTagIdentitySha256=c8d3d89b57b874047247b6e438aa6522863aef57fdee44eadc1fa7bd0d5b8569; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00037,26,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,60f663570357bc958d02031c47aecbac76d5552fbae587a28bf37ae5827fb17b,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=37; payloadBytes=25; rawTagPayloadSha256=60f663570357bc958d02031c47aecbac76d5552fbae587a28bf37ae5827fb17b; exactTagIdentitySha256=8046347b21f40af2f8aa6905b11c700755721dfda4b16e4846babb0e9be8bd95; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00038,27,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,07b373e5c95f160e30b1ab8dd6ffb915519d58c562e579c0579d8d778f56324f,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=38; payloadBytes=25; rawTagPayloadSha256=07b373e5c95f160e30b1ab8dd6ffb915519d58c562e579c0579d8d778f56324f; exactTagIdentitySha256=0be97378197c60c8d00cdd43c848bedc4d4f028929bd3ceff2586a5ffcd0cf4f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00039,28,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,4f4b2e8a3e10743c199809f41b9ae81003228334da0139bc87c0e37e233d71c1,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=39; payloadBytes=56; rawTagPayloadSha256=4f4b2e8a3e10743c199809f41b9ae81003228334da0139bc87c0e37e233d71c1; exactTagIdentitySha256=6af465e960e3994beb0691e0d72f6f81400647e74530a25395204fe3ccbf5869; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
