frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
6,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,416.666667,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=6/50; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:28dd4e2151eb2441797fa22a9a552f078800a7642a5d254716dacf325c56d7d2; baseline/ffdec-root-frames.json@sha256:bffd06fb7a2b0b18374798204aa932e580cc4bac6636bd2cd49341e2bf52fe0c; evidence/full-frame-coverage.json@sha256:d5bf88e0503553c16bf0a08ed570095a3bf2c940e7c709f31a6a082216fe3df4; migrations/shell-course-g04-l10-index-local/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:328f370798b3e3dacff41af9d01bf0c7e9c6a7f3c945262a1d28238c6cbff179; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:1dc69e29b1e2fe30c3594ba4c08c3f55ee96deaa5071051fb10a0c7e8e9f77a9,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
6,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,416.666667,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=6/50; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:28dd4e2151eb2441797fa22a9a552f078800a7642a5d254716dacf325c56d7d2; baseline/ffdec-root-frames.json@sha256:bffd06fb7a2b0b18374798204aa932e580cc4bac6636bd2cd49341e2bf52fe0c; evidence/full-frame-coverage.json@sha256:d5bf88e0503553c16bf0a08ed570095a3bf2c940e7c709f31a6a082216fe3df4; migrations/shell-course-g04-l10-index-local/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:a0a6dbfe5a8271e312792c1cc2b30a5ad08a0044e59aa44c831660f730759592; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:1dc69e29b1e2fe30c3594ba4c08c3f55ee96deaa5071051fb10a0c7e8e9f77a9,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
7,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,500,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=7/50; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:28dd4e2151eb2441797fa22a9a552f078800a7642a5d254716dacf325c56d7d2; baseline/ffdec-root-frames.json@sha256:bffd06fb7a2b0b18374798204aa932e580cc4bac6636bd2cd49341e2bf52fe0c; evidence/full-frame-coverage.json@sha256:d5bf88e0503553c16bf0a08ed570095a3bf2c940e7c709f31a6a082216fe3df4; migrations/shell-course-g04-l10-index-local/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:328f370798b3e3dacff41af9d01bf0c7e9c6a7f3c945262a1d28238c6cbff179; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:1dc69e29b1e2fe30c3594ba4c08c3f55ee96deaa5071051fb10a0c7e8e9f77a9,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
7,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,500,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=7/50; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:28dd4e2151eb2441797fa22a9a552f078800a7642a5d254716dacf325c56d7d2; baseline/ffdec-root-frames.json@sha256:bffd06fb7a2b0b18374798204aa932e580cc4bac6636bd2cd49341e2bf52fe0c; evidence/full-frame-coverage.json@sha256:d5bf88e0503553c16bf0a08ed570095a3bf2c940e7c709f31a6a082216fe3df4; migrations/shell-course-g04-l10-index-local/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:a0a6dbfe5a8271e312792c1cc2b30a5ad08a0044e59aa44c831660f730759592; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:1dc69e29b1e2fe30c3594ba4c08c3f55ee96deaa5071051fb10a0c7e8e9f77a9,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
8,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,583.333333,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=8/50; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:28dd4e2151eb2441797fa22a9a552f078800a7642a5d254716dacf325c56d7d2; baseline/ffdec-root-frames.json@sha256:bffd06fb7a2b0b18374798204aa932e580cc4bac6636bd2cd49341e2bf52fe0c; evidence/full-frame-coverage.json@sha256:d5bf88e0503553c16bf0a08ed570095a3bf2c940e7c709f31a6a082216fe3df4; migrations/shell-course-g04-l10-index-local/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:328f370798b3e3dacff41af9d01bf0c7e9c6a7f3c945262a1d28238c6cbff179; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:1dc69e29b1e2fe30c3594ba4c08c3f55ee96deaa5071051fb10a0c7e8e9f77a9,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
8,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,583.333333,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=8/50; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:28dd4e2151eb2441797fa22a9a552f078800a7642a5d254716dacf325c56d7d2; baseline/ffdec-root-frames.json@sha256:bffd06fb7a2b0b18374798204aa932e580cc4bac6636bd2cd49341e2bf52fe0c; evidence/full-frame-coverage.json@sha256:d5bf88e0503553c16bf0a08ed570095a3bf2c940e7c709f31a6a082216fe3df4; migrations/shell-course-g04-l10-index-local/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:a0a6dbfe5a8271e312792c1cc2b30a5ad08a0044e59aa44c831660f730759592; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:1dc69e29b1e2fe30c3594ba4c08c3f55ee96deaa5071051fb10a0c7e8e9f77a9,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
9,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,666.666667,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=9/50; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:28dd4e2151eb2441797fa22a9a552f078800a7642a5d254716dacf325c56d7d2; baseline/ffdec-root-frames.json@sha256:bffd06fb7a2b0b18374798204aa932e580cc4bac6636bd2cd49341e2bf52fe0c; evidence/full-frame-coverage.json@sha256:d5bf88e0503553c16bf0a08ed570095a3bf2c940e7c709f31a6a082216fe3df4; migrations/shell-course-g04-l10-index-local/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:328f370798b3e3dacff41af9d01bf0c7e9c6a7f3c945262a1d28238c6cbff179; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:1dc69e29b1e2fe30c3594ba4c08c3f55ee96deaa5071051fb10a0c7e8e9f77a9,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
9,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,666.666667,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=9/50; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:28dd4e2151eb2441797fa22a9a552f078800a7642a5d254716dacf325c56d7d2; baseline/ffdec-root-frames.json@sha256:bffd06fb7a2b0b18374798204aa932e580cc4bac6636bd2cd49341e2bf52fe0c; evidence/full-frame-coverage.json@sha256:d5bf88e0503553c16bf0a08ed570095a3bf2c940e7c709f31a6a082216fe3df4; migrations/shell-course-g04-l10-index-local/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:a0a6dbfe5a8271e312792c1cc2b30a5ad08a0044e59aa44c831660f730759592; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:1dc69e29b1e2fe30c3594ba4c08c3f55ee96deaa5071051fb10a0c7e8e9f77a9,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
10,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,750,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=10/50; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:28dd4e2151eb2441797fa22a9a552f078800a7642a5d254716dacf325c56d7d2; baseline/ffdec-root-frames.json@sha256:bffd06fb7a2b0b18374798204aa932e580cc4bac6636bd2cd49341e2bf52fe0c; evidence/full-frame-coverage.json@sha256:d5bf88e0503553c16bf0a08ed570095a3bf2c940e7c709f31a6a082216fe3df4; migrations/shell-course-g04-l10-index-local/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:328f370798b3e3dacff41af9d01bf0c7e9c6a7f3c945262a1d28238c6cbff179; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:1dc69e29b1e2fe30c3594ba4c08c3f55ee96deaa5071051fb10a0c7e8e9f77a9,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
10,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,750,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=10/50; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:28dd4e2151eb2441797fa22a9a552f078800a7642a5d254716dacf325c56d7d2; baseline/ffdec-root-frames.json@sha256:bffd06fb7a2b0b18374798204aa932e580cc4bac6636bd2cd49341e2bf52fe0c; evidence/full-frame-coverage.json@sha256:d5bf88e0503553c16bf0a08ed570095a3bf2c940e7c709f31a6a082216fe3df4; migrations/shell-course-g04-l10-index-local/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:a0a6dbfe5a8271e312792c1cc2b30a5ad08a0044e59aa44c831660f730759592; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:1dc69e29b1e2fe30c3594ba4c08c3f55ee96deaa5071051fb10a0c7e8e9f77a9,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
11,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,833.333333,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=11/50; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:28dd4e2151eb2441797fa22a9a552f078800a7642a5d254716dacf325c56d7d2; baseline/ffdec-root-frames.json@sha256:bffd06fb7a2b0b18374798204aa932e580cc4bac6636bd2cd49341e2bf52fe0c; evidence/full-frame-coverage.json@sha256:d5bf88e0503553c16bf0a08ed570095a3bf2c940e7c709f31a6a082216fe3df4; migrations/shell-course-g04-l10-index-local/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:328f370798b3e3dacff41af9d01bf0c7e9c6a7f3c945262a1d28238c6cbff179; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:1dc69e29b1e2fe30c3594ba4c08c3f55ee96deaa5071051fb10a0c7e8e9f77a9,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
11,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,833.333333,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=11/50; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:28dd4e2151eb2441797fa22a9a552f078800a7642a5d254716dacf325c56d7d2; baseline/ffdec-root-frames.json@sha256:bffd06fb7a2b0b18374798204aa932e580cc4bac6636bd2cd49341e2bf52fe0c; evidence/full-frame-coverage.json@sha256:d5bf88e0503553c16bf0a08ed570095a3bf2c940e7c709f31a6a082216fe3df4; migrations/shell-course-g04-l10-index-local/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:a0a6dbfe5a8271e312792c1cc2b30a5ad08a0044e59aa44c831660f730759592; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:1dc69e29b1e2fe30c3594ba4c08c3f55ee96deaa5071051fb10a0c7e8e9f77a9,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
12,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,916.666667,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=12/50; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:28dd4e2151eb2441797fa22a9a552f078800a7642a5d254716dacf325c56d7d2; baseline/ffdec-root-frames.json@sha256:bffd06fb7a2b0b18374798204aa932e580cc4bac6636bd2cd49341e2bf52fe0c; evidence/full-frame-coverage.json@sha256:d5bf88e0503553c16bf0a08ed570095a3bf2c940e7c709f31a6a082216fe3df4; migrations/shell-course-g04-l10-index-local/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:328f370798b3e3dacff41af9d01bf0c7e9c6a7f3c945262a1d28238c6cbff179; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:1dc69e29b1e2fe30c3594ba4c08c3f55ee96deaa5071051fb10a0c7e8e9f77a9,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
12,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,916.666667,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=12/50; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:28dd4e2151eb2441797fa22a9a552f078800a7642a5d254716dacf325c56d7d2; baseline/ffdec-root-frames.json@sha256:bffd06fb7a2b0b18374798204aa932e580cc4bac6636bd2cd49341e2bf52fe0c; evidence/full-frame-coverage.json@sha256:d5bf88e0503553c16bf0a08ed570095a3bf2c940e7c709f31a6a082216fe3df4; migrations/shell-course-g04-l10-index-local/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:a0a6dbfe5a8271e312792c1cc2b30a5ad08a0044e59aa44c831660f730759592; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:1dc69e29b1e2fe30c3594ba4c08c3f55ee96deaa5071051fb10a0c7e8e9f77a9,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
13,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,1000,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=13/50; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:28dd4e2151eb2441797fa22a9a552f078800a7642a5d254716dacf325c56d7d2; baseline/ffdec-root-frames.json@sha256:bffd06fb7a2b0b18374798204aa932e580cc4bac6636bd2cd49341e2bf52fe0c; evidence/full-frame-coverage.json@sha256:d5bf88e0503553c16bf0a08ed570095a3bf2c940e7c709f31a6a082216fe3df4; migrations/shell-course-g04-l10-index-local/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:328f370798b3e3dacff41af9d01bf0c7e9c6a7f3c945262a1d28238c6cbff179; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:1dc69e29b1e2fe30c3594ba4c08c3f55ee96deaa5071051fb10a0c7e8e9f77a9,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
13,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,1000,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=13/50; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:28dd4e2151eb2441797fa22a9a552f078800a7642a5d254716dacf325c56d7d2; baseline/ffdec-root-frames.json@sha256:bffd06fb7a2b0b18374798204aa932e580cc4bac6636bd2cd49341e2bf52fe0c; evidence/full-frame-coverage.json@sha256:d5bf88e0503553c16bf0a08ed570095a3bf2c940e7c709f31a6a082216fe3df4; migrations/shell-course-g04-l10-index-local/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:a0a6dbfe5a8271e312792c1cc2b30a5ad08a0044e59aa44c831660f730759592; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:1dc69e29b1e2fe30c3594ba4c08c3f55ee96deaa5071051fb10a0c7e8e9f77a9,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
